#The solar chemical composition K.Lodders 2009:
C	9.4434
H   12.00          
He  10.9864
N	8.9130
O	9.6900
S	8.1200
P	6.4100
Si	8.5867
Ti	5.9794
V	5.0437
Cl	6.3002
K	6.1619
Na	7.3479
Mg	8.5995
F	5.4920
Ca	7.3677
Fe	8.5151
e-  0
