#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	5         	ok              	4.7510000000e-01	1.3976000000e+03	4.5319863078e+18	2.4621721543e+18	2.6009009215e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	5         	ok              	3.7650000000e-01	1.3714000000e+03	3.6600505794e+18	1.9884611595e+18	2.6008997300e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	5         	ok              	2.9840000000e-01	1.3447000000e+03	2.9584181419e+18	1.6072731542e+18	2.6008990798e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	5         	ok              	2.3640000000e-01	1.3168000000e+03	2.3933918728e+18	1.3003011040e+18	2.6008991668e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	5         	ok              	1.8740000000e-01	1.2890000000e+03	1.9382191243e+18	1.0530110926e+18	2.6008994517e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	5         	ok              	1.4850000000e-01	1.2612000000e+03	1.5697438282e+18	8.5282273309e+17	2.6008999751e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	5         	ok              	1.1770000000e-01	1.2334000000e+03	1.2722104411e+18	6.9117623260e+17	2.6009008384e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	9.3260000000e-02	1.2072000000e+03	1.0299181386e+18	5.5954170426e+17	2.6009013519e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	5         	ok              	7.3910000000e-02	1.1837000000e+03	8.3243056587e+17	4.5224922532e+17	2.6009010012e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	5         	ok              	5.8570000000e-02	1.1610000000e+03	6.7255748332e+17	3.6539220754e+17	2.6009006482e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
